model,OVERALL_MAE,OVERALL_RMSE,OVERALL_R2,OVERALL_Adj_R2,OVERALL_MAPE_percent,rank_by_overall_rmse
Extra Trees,36.502096949891055,56.463637279027225,0.31150797874796066,0.29745712117138845,43.96871790144956,1
Decision Tree,36.50209694989107,56.463637279027225,0.31150797874796066,0.29745712117138845,43.96871790144958,2
Gaussian Process Regression,36.50211144577678,56.46363727973788,0.31150797873020625,0.29745712115327166,43.96879424143795,3
Gradient Boosting,36.62474727363456,56.46469020353801,0.31147978713009894,0.29742835421438674,44.172762381032854,4
Extreme Gradient Boosting,36.68221718881645,56.47065577776298,0.311307091678354,0.2972521343656674,44.06025933190316,5
Categorical Boosting,37.077481746004295,56.4823468839188,0.31092460676791145,0.296861843640726,45.0521131016635,6
Random Forest,40.12439201168747,57.226942920738146,0.2767615784138001,0.26200161062632665,52.487483531127566,7
Bagging Regressor,40.26839203969183,57.305889466292854,0.2697306555574985,0.2548271995484679,52.08331988037873,8
Adaptive Boosting,41.376324788358616,58.615520863839905,0.24136180161344056,0.22587938940146995,53.47012151600998,9
Polynomial Regression Degree 3,45.93310218664039,61.46651043144696,0.12534423574049097,0.06951514440477766,75.84562028343396,10
Polynomial Ridge Degree 3,45.83368966291799,61.738591269270614,0.11700643349149198,0.060645142012225484,77.71204418012663,11
Polynomial Regression Degree 2,47.58581699448067,62.82814994632612,0.08167729649806676,0.04341385051881955,82.03919656927027,12
Polynomial Ridge Degree 2,47.36162114757483,62.84394243278399,0.08140270925934742,0.043127822145153594,81.38673994146862,13
Linear Regression,47.88620327402283,63.48626724091056,0.06333200850025808,0.04421633520434498,84.11703649434362,14
Lasso Regression,47.8862242804854,63.48626725895862,0.06333200652419671,0.044216333187955814,84.11720260021775,15
Elastic Net Regression,47.886957372769956,63.4862680821951,0.06333198969521825,0.044216316015528834,84.12050988761703,16
Ridge Regression,47.914817603454324,63.487423642289244,0.06330858689948143,0.044192435611715764,84.2475009956124,17
K Nearest Neighbors Five,45.39443137254902,66.13774847857172,0.043512664233379406,0.023992514523856562,50.12863096442569,18
Histogram Gradient Boosting,50.80627450980393,66.50887338988493,0.0,-0.020408163265306145,94.71910521263098,19
Light Gradient Boosting,50.806274532875804,66.50887338988493,-2.7755575615628914e-17,-0.020408163265306145,94.7191052054969,20
Support Vector Regression,46.35987000354851,67.26150972584821,-0.01859041019230226,-0.039377969583981876,72.17358518780009,21
K Nearest Neighbors Three,48.531960784313725,72.61990078769972,-0.1520182671638045,-0.17552884404469854,46.62395849637755,22
Stochastic Gradient Regression,116.3805748771315,137.34765819871987,-7.156957293725606,-7.323425809924087,79.52843867387438,23
