layer,x,y
residuals,0.0,-106.76216272899464
residuals,12.0,-2.824035973731611
residuals,18.0,37.6450274038999
residuals,0.0,-137.06216272899465
residuals,1.1,-136.45950110976221
residuals,2.1,-135.14799054682362
residuals,3.1,-129.93647998388502
residuals,0.0,-80.18216272899464
residuals,0.2,-108.87986061640692
residuals,0.5,-109.30640744752534
residuals,1.0,-109.85065216605605
residuals,2.0,-105.73914160311746
residuals,0.0,-120.94216272899465
residuals,5.0,-114.2046099143017
residuals,10.0,-104.14705709960879
residuals,20.0,-90.71195147022291
residuals,40.0,-50.301740211451204
residuals,50.0,-26.186634582065352
residuals,100.0,73.38889356486393
residuals,0.0,153.23783727100536
residuals,0.0,3.237837271005361
residuals,0.0,-46.76216272899464
residuals,0.0,-66.76216272899464
residuals,0.0,103.23783727100536
residuals,0.0,33.23783727100536
residuals,0.0,-26.76216272899464
residuals,0.0,-66.76216272899464
residuals,0.0,53.23783727100536
residuals,0.0,-46.76216272899464
residuals,0.0,-16.76216272899464
residuals,0.0,153.23783727100536
residuals,0.0,-46.76216272899464
residuals,0.0,592.4378372710054
residuals,0.0,100.03783727100537
residuals,0.0,139.13783727100534
residuals,0.0,-70.36216272899463
residuals,0.0,-101.26216272899464
residuals,0.0,-74.86216272899463
residuals,0.0,218.73783727100536
residuals,0.0,153.03783727100537
residuals,0.0,137.23783727100536
residuals,0.0,124.53783727100537
residuals,0.0,203.23783727100536
residuals,0.0,153.23783727100536
residuals,0.0,129.93783727100535
residuals,0.0,3.237837271005361
residuals,0.0,-25.76216272899464
residuals,0.0,-46.76216272899464
residuals,0.0,-76.76216272899464
residuals,0.0,-86.76216272899464
residuals,0.0,-96.76216272899464
