layer,x,y,y_lo,y_hi
points,0.0,68.0,,
points,12.0,64.0,,
points,18.0,58.0,,
points,0.0,73.0,,
points,1.1,75.0,,
points,2.1,79.0,,
points,3.1,74.0,,
points,0.0,77.2,,
points,0.2,50.2,,
points,0.5,32.7,,
points,1.0,82.4,,
points,2.0,71.2,,
points,0.0,66.8,,
points,5.0,72.6,,
x_iqr_band,0.0,,58.71958041958039,63.73741258741253
x_median,0.0,60.93216783216781,,
x_iqr_band,0.2,,56.39020979020976,58.52167832167828
x_median,0.2,57.330069930069925,,
x_iqr_band,0.5,,57.92517482517479,58.28041958041955
x_median,0.5,58.081818181818186,,
x_iqr_band,1.0,,62.02564102564098,61.49277389277386
x_median,1.0,61.790675990676,,
x_iqr_band,1.1,,67.39277389277383,66.63787878787875
x_median,1.1,67.05990675990677,,
x_iqr_band,2.0,,72.72773892773913,72.19487179487199
x_median,2.0,72.49277389277408,,
x_iqr_band,2.1,,76.73170163170154,76.64289044289038
x_median,2.1,76.69254079254077,,
x_iqr_band,3.1,,78.10582750582739,78.46107226107219
x_median,3.1,78.26247086247082,,
x_iqr_band,5.0,,75.55128205128193,76.12855477855467
x_median,5.0,75.80582750582744,,
x_iqr_band,12.0,,67.76923076923065,68.1244755244754
x_median,12.0,67.92587412587402,,
x_iqr_band,18.0,,53.46083916083904,52.927972027971876
x_median,18.0,53.225874125873986,,
linear_trend,0.0,68.57387322143646,,
linear_trend,0.07228915662650602,68.54827607268126,,
linear_trend,0.14457831325301204,68.52267892392607,,
linear_trend,0.21686746987951805,68.49708177517087,,
linear_trend,0.2891566265060241,68.47148462641566,,
linear_trend,0.3614457831325301,68.44588747766046,,
linear_trend,0.4337349397590361,68.42029032890527,,
linear_trend,0.5060240963855421,68.39469318015007,,
linear_trend,0.5783132530120482,68.36909603139488,,
linear_trend,0.6506024096385542,68.34349888263968,,
linear_trend,0.7228915662650602,68.31790173388448,,
linear_trend,0.7951807228915663,68.29230458512929,,
linear_trend,0.8674698795180722,68.26670743637408,,
linear_trend,0.9397590361445782,68.24111028761888,,
linear_trend,1.0120481927710843,68.21551313886368,,
linear_trend,1.0843373493975903,68.18991599010849,,
linear_trend,1.1566265060240963,68.16431884135329,,
linear_trend,1.2289156626506024,68.1387216925981,,
linear_trend,1.3012048192771084,68.1131245438429,,
linear_trend,1.3734939759036144,68.08752739508769,,
linear_trend,1.4457831325301205,68.0619302463325,,
linear_trend,1.5180722891566265,68.0363330975773,,
linear_trend,1.5903614457831325,68.0107359488221,,
linear_trend,1.6626506024096386,67.9851388000669,,
linear_trend,1.7349397590361444,67.95954165131171,,
linear_trend,1.8072289156626504,67.93394450255651,,
linear_trend,1.8795180722891565,67.9083473538013,,
linear_trend,1.9518072289156625,67.88275020504611,,
linear_trend,2.0240963855421685,67.85715305629091,,
linear_trend,2.0963855421686746,67.83155590753572,,
linear_trend,2.1686746987951806,67.80595875878052,,
linear_trend,2.2409638554216866,67.78036161002532,,
linear_trend,2.3132530120481927,67.75476446127013,,
linear_trend,2.3855421686746987,67.72916731251493,,
linear_trend,2.4578313253012047,67.70357016375972,,
linear_trend,2.5301204819277108,67.67797301500453,,
linear_trend,2.602409638554217,67.65237586624933,,
linear_trend,2.674698795180723,67.62677871749413,,
linear_trend,2.746987951807229,67.60118156873894,,
linear_trend,2.819277108433735,67.57558441998374,,
linear_trend,2.891566265060241,67.54998727122855,,
linear_trend,2.963855421686747,67.52439012247333,,
linear_trend,3.036144578313253,67.49879297371814,,
linear_trend,3.108433734939759,67.47319582496294,,
linear_trend,3.180722891566265,67.44759867620775,,
linear_trend,3.253012048192771,67.42200152745255,,
linear_trend,3.325301204819277,67.39640437869735,,
linear_trend,3.397590361445783,67.37080722994216,,
linear_trend,3.469879518072289,67.34521008118696,,
linear_trend,3.542168674698795,67.31961293243175,,
linear_trend,3.614457831325301,67.29401578367656,,
