layer,x,y,y_lo,y_hi
points,0.0,285.0,,
points,12.0,270.0,,
points,18.0,260.0,,
points,0.0,277.0,,
points,1.1,286.0,,
points,2.1,296.0,,
points,3.1,269.0,,
points,0.0,293.0,,
points,0.2,187.8,,
points,0.5,123.4,,
points,1.0,297.3,,
points,2.0,258.0,,
points,0.0,260.9,,
points,5.0,318.1,,
x_iqr_band,0.0,,238.1641608391608,249.24685314685297
x_median,0.0,244.50559440559425,,
x_iqr_band,0.2,,215.99440559440552,220.7020979020977
x_median,0.2,218.6881118881118,,
x_iqr_band,0.5,,213.3911421911421,214.17575757575736
x_median,0.5,213.84009324009318,,
x_iqr_band,1.0,,224.9290209790209,223.75209790209766
x_median,1.0,224.2555944055943,,
x_iqr_band,1.1,,245.18269230769218,243.5153846153843
x_median,1.1,244.22867132867114,,
x_iqr_band,2.0,,268.72680652680725,267.54988344988413
x_median,2.0,268.05337995338067,,
x_iqr_band,2.1,,290.13601398601384,289.93986013985966
x_median,2.1,290.0237762237758,,
x_iqr_band,3.1,,303.9849650349649,304.7695804195799
x_median,3.1,304.43391608391556,,
x_iqr_band,5.0,,304.8483100233098,306.1233100233094
x_median,5.0,305.5778554778548,,
x_iqr_band,12.0,,287.3006993006991,288.08531468531396
x_median,12.0,287.7496503496496,,
x_iqr_band,18.0,,245.9167832167829,244.73986013985927
x_median,18.0,245.2433566433558,,
linear_trend,0.0,259.8293818305746,,
linear_trend,0.07228915662650602,259.89988569301954,,
linear_trend,0.14457831325301204,259.9703895554644,,
linear_trend,0.21686746987951805,260.04089341790933,,
linear_trend,0.2891566265060241,260.11139728035425,,
linear_trend,0.3614457831325301,260.1819011427992,,
linear_trend,0.4337349397590361,260.25240500524404,,
linear_trend,0.5060240963855421,260.32290886768897,,
linear_trend,0.5783132530120482,260.3934127301339,,
linear_trend,0.6506024096385542,260.4639165925788,,
linear_trend,0.7228915662650602,260.5344204550237,,
linear_trend,0.7951807228915663,260.6049243174686,,
linear_trend,0.8674698795180722,260.6754281799135,,
linear_trend,0.9397590361445782,260.74593204235845,,
linear_trend,1.0120481927710843,260.8164359048033,,
linear_trend,1.0843373493975903,260.88693976724824,,
linear_trend,1.1566265060240963,260.95744362969316,,
linear_trend,1.2289156626506024,261.027947492138,,
linear_trend,1.3012048192771084,261.09845135458295,,
linear_trend,1.3734939759036144,261.1689552170279,,
linear_trend,1.4457831325301205,261.2394590794728,,
linear_trend,1.5180722891566265,261.30996294191766,,
linear_trend,1.5903614457831325,261.3804668043626,,
linear_trend,1.6626506024096386,261.4509706668075,,
linear_trend,1.7349397590361444,261.52147452925243,,
linear_trend,1.8072289156626504,261.5919783916973,,
linear_trend,1.8795180722891565,261.6624822541422,,
linear_trend,1.9518072289156625,261.73298611658714,,
linear_trend,2.0240963855421685,261.803489979032,,
linear_trend,2.0963855421686746,261.87399384147693,,
linear_trend,2.1686746987951806,261.94449770392185,,
