layer,x,y_lo,y_hi,y
quantile_band_10_90,0.0,33.72027972027975,63.35314685314681,
median,0.0,,,54.34475524475522
quantile_band_10_90,0.2,45.8776223776224,58.46503496503493,
median,0.2,,,54.638461538461534
quantile_band_10_90,0.5,56.14335664335666,58.241258741258704,
median,0.5,,,57.60349650349651
quantile_band_10_90,1.0,64.46759906759908,61.32074592074588,
median,1.0,,,62.27738927738928
quantile_band_10_90,1.1,70.80046620046622,66.34242424242419,
median,1.1,,,67.697668997669
quantile_band_10_90,2.0,75.0920745920748,71.94522144522163,
median,2.0,,,72.90186480186499
quantile_band_10_90,2.1,77.53962703962723,77.53962703962723,
median,2.1,,,77.53962703962723
quantile_band_10_90,3.1,76.47902097902119,76.47902097902119,
median,3.1,,,76.47902097902119
quantile_band_10_90,5.0,71.49254079254098,71.49254079254098,
median,5.0,,,71.49254079254098
quantile_band_10_90,10.0,71.82237762237781,71.82237762237781,
median,10.0,,,71.82237762237781
quantile_band_10_90,12.0,70.4128205128207,70.4128205128207,
median,12.0,,,70.4128205128207
quantile_band_10_90,18.0,67.86736596736591,67.86736596736591,
median,18.0,,,67.86736596736591
quantile_band_10_90,20.0,63.61596736596731,63.61596736596731,
median,20.0,,,63.61596736596731
quantile_band_10_90,40.0,57.15524475524469,57.15524475524469,
median,40.0,,,57.15524475524469
quantile_band_10_90,50.0,47.98181818181811,47.98181818181811,
median,50.0,,,47.98181818181811
quantile_band_10_90,100.0,35.592307692307614,35.592307692307614,
median,100.0,,,35.592307692307614
