layer,x,y_lo,y_hi,y
quantile_band_10_90,0.0,120.55244755244755,292.4230769230766,
median,0.0,,,245.40559440559423
quantile_band_10_90,0.2,163.9804195804196,236.9874125874124,
median,0.2,,,217.01538461538453
quantile_band_10_90,0.5,202.05547785547793,214.22331002330984,
median,0.5,,,210.89463869463864
quantile_band_10_90,1.0,234.56888111888122,216.3171328671326,
median,1.0,,,221.31013986013983
quantile_band_10_90,1.1,261.3118881118882,235.4552447552444,
median,1.1,,,242.52867132867124
quantile_band_10_90,2.0,282.0757575757583,263.82400932401004,
median,2.0,,,268.817016317017
quantile_band_10_90,2.1,297.4300699300707,297.4300699300707,
median,2.1,,,297.4300699300707
quantile_band_10_90,3.1,300.1825174825183,300.1825174825183,
median,3.1,,,300.1825174825183
quantile_band_10_90,5.0,304.4923076923085,304.4923076923085,
median,5.0,,,304.4923076923085
quantile_band_10_90,10.0,315.646853146854,315.646853146854,
median,10.0,,,315.646853146854
quantile_band_10_90,12.0,309.1016317016325,309.1016317016325,
median,12.0,,,309.1016317016325
quantile_band_10_90,18.0,289.5689976689978,289.5689976689978,
median,18.0,,,289.5689976689978
quantile_band_10_90,20.0,251.75081585081597,251.75081585081597,
median,20.0,,,251.75081585081597
quantile_band_10_90,40.0,191.95641025641032,191.95641025641032,
median,40.0,,,191.95641025641032
quantile_band_10_90,50.0,106.49510489510487,106.49510489510487,
median,50.0,,,106.49510489510487
quantile_band_10_90,100.0,-8.323776223776406,-8.323776223776406,
median,100.0,,,-8.323776223776406
