series,x,cumulative_probability,cumulative_smoothed
ecdf,27.0,0.07142857142857142,0.07142857142857142
ecdf,37.0,0.14285714285714285,0.14285714285714285
ecdf,50.0,0.21428571428571427,0.21428571428571433
ecdf,77.0,0.2857142857142857,0.2857142857142858
ecdf,78.0,0.35714285714285715,0.3571428571428573
ecdf,79.0,0.42857142857142855,0.4285714285714297
ecdf,80.0,0.5,0.5000000000000013
ecdf,82.0,0.5714285714285714,0.571428571428573
ecdf,82.8,0.6428571428571429,0.6428571428571446
ecdf,83.0,0.7142857142857143,0.7142857142857146
ecdf,95.0,0.7857142857142857,0.785714285714286
ecdf,96.0,0.8571428571428571,0.8571428571428572
ecdf,96.1,0.9285714285714286,0.9285714285714284
ecdf,97.0,1.0,0.9999999999999996
