Al2O3 Thickness_nm,count,mean,median,std,min,max
0.0,36,77.08888888888889,80.0,16.141105959236548,40.0,98.5
0.2,1,78.0,78.0,,78.0,78.0
0.5,1,79.0,79.0,,79.0,79.0
1.0,1,82.0,82.0,,82.0,82.0
1.1,1,96.0,96.0,,96.0,96.0
2.0,1,80.0,80.0,,80.0,80.0
2.1,1,96.1,96.1,,96.1,96.1
3.1,1,95.0,95.0,,95.0,95.0
5.0,1,83.0,83.0,,83.0,83.0
10.0,1,85.0,85.0,,85.0,85.0
12.0,1,37.0,37.0,,37.0,37.0
18.0,1,27.0,27.0,,27.0,27.0
20.0,1,90.7,90.7,,90.7,90.7
40.0,1,88.0,88.0,,88.0,88.0
50.0,1,82.0,82.0,,82.0,82.0
100.0,1,78.0,78.0,,78.0,78.0
