Al2O3 Thickness_nm,count,mean,median,std,min,max
0.0,36,58.67222222222222,62.1,15.23082609355328,24.0,85.0
0.2,1,50.2,50.2,,50.2,50.2
0.5,1,32.7,32.7,,32.7,32.7
1.0,1,82.4,82.4,,82.4,82.4
1.1,1,75.0,75.0,,75.0,75.0
2.0,1,71.2,71.2,,71.2,71.2
2.1,1,79.0,79.0,,79.0,79.0
3.1,1,74.0,74.0,,74.0,74.0
5.0,1,72.6,72.6,,72.6,72.6
10.0,1,73.9,73.9,,73.9,73.9
12.0,1,64.0,64.0,,64.0,64.0
18.0,1,58.0,58.0,,58.0,58.0
20.0,1,75.7,75.7,,75.7,75.7
40.0,1,59.9,59.9,,59.9,59.9
50.0,1,45.4,45.4,,45.4,45.4
100.0,1,34.7,34.7,,34.7,34.7
