Al2O3 Thickness_nm,count,mean,median,std,min,max
0.0,36,257.09444444444443,278.5,98.93656826311765,35.0,552.0
0.2,1,187.8,187.8,,187.8,187.8
0.5,1,123.4,123.4,,123.4,123.4
1.0,1,297.3,297.3,,297.3,297.3
1.1,1,286.0,286.0,,286.0,286.0
2.0,1,258.0,258.0,,258.0,258.0
2.1,1,296.0,296.0,,296.0,296.0
3.1,1,269.0,269.0,,269.0,269.0
5.0,1,318.1,318.1,,318.1,318.1
10.0,1,336.4,336.4,,336.4,336.4
12.0,1,270.0,270.0,,270.0,270.0
18.0,1,260.0,260.0,,260.0,260.0
20.0,1,355.5,355.5,,355.5,355.5
40.0,1,151.5,151.5,,151.5,151.5
50.0,1,69.0,69.0,,69.0,69.0
100.0,1,13.9,13.9,,13.9,13.9
