Al2O3 Thickness_nm,count,mean,median,std,min,max
0.0,36,177.66944444444445,125.5,142.32543244157927,9.7,739.2
0.2,1,37.5,37.5,,37.5,37.5
0.5,1,36.5,36.5,,36.5,36.5
1.0,1,35.0,35.0,,35.0,35.0
1.1,1,8.2,8.2,,8.2,8.2
2.0,1,37.2,37.2,,37.2,37.2
2.1,1,7.6,7.6,,7.6,7.6
3.1,1,10.9,10.9,,10.9,10.9
5.0,1,23.0,23.0,,23.0,23.0
10.0,1,23.5,23.5,,23.5,23.5
12.0,1,121.0,121.0,,121.0,121.0
18.0,1,150.0,150.0,,150.0,150.0
20.0,1,17.82,17.82,,17.82,17.82
40.0,1,20.0,20.0,,20.0,20.0
50.0,1,25.0,25.0,,25.0,25.0
100.0,1,29.0,29.0,,29.0,29.0
