series,sorted_index,sorted_actual,sorted_predicted,smoothed_actual,smoothed_predicted,between_curves_lo,between_curves_hi
sorted_curves,0.0,32.7,32.7,34.465034965035024,33.66153846153851,33.66153846153851,34.465034965035024
sorted_curves,1.0,50.2,50.2,47.732867132867185,48.168065268065305,47.732867132867185,48.168065268065305
sorted_curves,2.0,58.0,58.0,57.30489510489516,58.57272727272731,57.30489510489516,58.57272727272731
sorted_curves,3.0,64.0,64.0,63.806759906759964,65.55139860139865,63.806759906759964,65.55139860139865
sorted_curves,4.0,66.8,71.7,67.86410256410264,69.77995337995344,67.86410256410264,69.77995337995344
sorted_curves,5.0,68.0,71.7,70.10256410256429,71.93426573426592,70.10256410256429,71.93426573426592
sorted_curves,6.0,71.2,71.7,71.03962703962722,72.84009324009344,71.03962703962722,72.84009324009344
sorted_curves,7.0,72.6,71.7,72.14498834498853,73.6152292152294,72.14498834498853,73.6152292152294
sorted_curves,8.0,73.0,74.0,73.02983682983702,73.26076146076164,73.02983682983702,73.26076146076164
sorted_curves,9.0,74.0,74.19999999999999,74.08857808857809,73.19494949494954,73.19494949494954,74.08857808857809
sorted_curves,10.0,75.0,74.46666666666665,75.34242424242424,73.55031080031085,73.55031080031085,75.34242424242424
sorted_curves,11.0,77.2,74.93333333333334,76.9888111888112,74.7492618492619,74.7492618492619,76.9888111888112
sorted_curves,12.0,79.0,75.0,79.22517482517485,77.21421911421916,77.21421911421916,79.22517482517485
sorted_curves,13.0,82.4,82.4,82.24895104895107,81.3675990675991,81.3675990675991,82.24895104895107
