series,sorted_index,sorted_actual,sorted_predicted,smoothed_actual,smoothed_predicted,between_curves_lo,between_curves_hi
sorted_curves,0.0,123.4,141.86222222222244,128.61748251748296,136.88701644651735,128.61748251748296,136.88701644651735
sorted_curves,1.0,187.8,177.2287555555567,191.93566433566465,198.529243589744,191.93566433566465,198.529243589744
sorted_curves,2.0,258.0,262.8222222222222,234.46806526806552,240.6843128291464,234.46806526806552,240.6843128291464
sorted_curves,3.0,260.0,270.651666666667,260.1615384615387,266.74119759561455,260.1615384615387,266.74119759561455
sorted_curves,4.0,260.9,274.9431851851852,272.9629370629374,280.08887132003855,272.9629370629374,280.08887132003855
sorted_curves,5.0,269.0,277.3550000000006,276.81911421911497,284.1163074333088,276.81911421911497,284.1163074333088
sorted_curves,6.0,270.0,278.4588888888889,277.68601398601476,284.7353537943558,277.68601398601476,284.7353537943558
sorted_curves,7.0,277.0,278.93447777778005,277.2792540792548,278.524220184756,277.2792540792548,278.524220184756
sorted_curves,8.0,285.0,278.93447777778005,281.063403263404,277.77605442458986,277.77605442458986,281.063403263404
sorted_curves,9.0,286.0,278.93447777778005,285.5522144522146,277.90405517568973,277.90405517568973,285.5522144522146
sorted_curves,10.0,293.0,278.93447777778005,290.73682983683,279.80048984287413,279.80048984287413,290.73682983683
sorted_curves,11.0,296.0,284.8504074074058,296.93846153846164,284.4328795907802,284.4328795907802,296.93846153846164
sorted_curves,12.0,297.3,290.32862962962764,304.4783216783217,292.768745584046,292.768745584046,304.4783216783217
sorted_curves,13.0,318.1,307.2611111111132,313.6776223776223,305.7756089873092,305.7756089873092,313.6776223776223
