series,rank,theoretical_quantile,ordered_residual,x,y
empirical_quantile,1,-1.8027430907391904,-15.465386004779646,,
empirical_quantile,2,-1.2418667918433202,-0.0822781756476445,,
empirical_quantile,3,-0.9208229763683788,-0.00936181353910115,,
empirical_quantile,4,-0.6744897501960817,-3.772992045014689e-06,,
empirical_quantile,5,-0.463707751457179,-3.7580214211629936e-06,,
empirical_quantile,6,-0.2718800053992609,-1.0173739042329544e-06,,
empirical_quantile,7,-0.08964235107576254,5.115456872317736e-06,,
empirical_quantile,8,0.08964235107576254,5.130796694174933e-06,,
empirical_quantile,9,0.27188000539926077,5.61888475658634e-05,,
empirical_quantile,10,0.4637077514571792,0.0050216590218354895,,
empirical_quantile,11,0.6744897501960817,0.03036347690868979,,
empirical_quantile,12,0.9208229763683788,0.6346139952203771,,
empirical_quantile,13,1.2418667918433206,8.634613995220377,,
empirical_quantile,14,1.8027430907391908,16.634613995220377,,
normal_reference,1,,,-1.8027430907391904,-9.032152644498828
normal_reference,2,,,-1.2418667918433202,-5.9913086165950284
normal_reference,3,,,-0.9208229763683788,-4.250739134689233
normal_reference,4,,,-0.6744897501960817,-2.915220195566843
normal_reference,5,,,-0.463707751457179,-1.7724456063809746
normal_reference,6,,,-0.2718800053992609,-0.7324332950481988
normal_reference,7,,,-0.08964235107576254,0.25558542476525686
normal_reference,8,,,0.08964235107576254,1.2275944344260332
normal_reference,9,,,0.27188000539926077,2.215613154239488
normal_reference,10,,,0.4637077514571792,3.255625465572266
normal_reference,11,,,0.6744897501960817,4.398400054758133
normal_reference,12,,,0.9208229763683788,5.733918993880524
normal_reference,13,,,1.2418667918433206,7.474488475786321
normal_reference,14,,,1.8027430907391908,10.515332503690118
quantile_band_lower,1,,,-1.8027430907391904,-13.800153511948446
quantile_band_upper,1,,,-1.8027430907391904,-3.965562525758383
quantile_band_lower,2,,,-1.2418667918433202,-9.793353830091693
quantile_band_upper,2,,,-1.2418667918433202,-2.152546982031617
quantile_band_lower,3,,,-0.9208229763683788,-7.6379225328656295
quantile_band_upper,3,,,-0.9208229763683788,-0.8380221024330928
quantile_band_lower,4,,,-0.6744897501960817,-6.083233139433124
quantile_band_upper,4,,,-0.6744897501960817,0.2742879718192169
quantile_band_lower,5,,,-0.463707751457179,-4.814716859514215
quantile_band_upper,5,,,-0.463707751457179,1.2861752590297015
quantile_band_lower,6,,,-0.2718800053992609,-3.704778197874999
quantile_band_upper,6,,,-0.2718800053992609,2.2500831389738534
quantile_band_lower,7,,,-0.08964235107576254,-2.6866588696600564
quantile_band_upper,7,,,-0.08964235107576254,3.2012756355140097
quantile_band_lower,8,,,0.08964235107576254,-1.7180957763227203
quantile_band_upper,8,,,0.08964235107576254,4.1698387288513485
quantile_band_lower,9,,,0.27188000539926077,-0.7669032797825633
quantile_band_upper,9,,,0.27188000539926077,5.1879580570662895
quantile_band_lower,10,,,0.4637077514571792,0.19700460016158716
quantile_band_upper,10,,,0.4637077514571792,6.297896718705503
quantile_band_lower,11,,,0.6744897501960817,1.2088918873720702
quantile_band_upper,11,,,0.6744897501960817,7.566412998624414
quantile_band_lower,12,,,0.9208229763683788,2.3212019616243813
quantile_band_upper,12,,,0.9208229763683788,9.121102392056919
quantile_band_lower,13,,,1.2418667918433206,3.6357268412229087
quantile_band_upper,13,,,1.2418667918433206,11.276533689282981
quantile_band_lower,14,,,1.8027430907391908,5.4487423849496714
quantile_band_upper,14,,,1.8027430907391908,15.283333371139733
