series,rank,theoretical_quantile,ordered_residual,x,y
empirical_quantile,1,-1.8027430907391904,-34.735714285714295,,
empirical_quantile,2,-1.2418667918433202,-17.235714285714295,,
empirical_quantile,3,-0.9208229763683788,-9.435714285714297,,
empirical_quantile,4,-0.6744897501960817,-3.4357142857142975,,
empirical_quantile,5,-0.463707751457179,-0.6357142857143003,,
empirical_quantile,6,-0.2718800053992609,0.5642857142857025,,
empirical_quantile,7,-0.08964235107576254,3.7642857142857054,,
empirical_quantile,8,0.08964235107576254,5.164285714285697,,
empirical_quantile,9,0.27188000539926077,5.5642857142857025,,
empirical_quantile,10,0.4637077514571792,6.5642857142857025,,
empirical_quantile,11,0.6744897501960817,7.5642857142857025,,
empirical_quantile,12,0.9208229763683788,9.764285714285705,,
empirical_quantile,13,1.2418667918433206,11.564285714285703,,
empirical_quantile,14,1.8027430907391908,14.964285714285708,,
normal_reference,1,,,-1.8027430907391904,-21.897769419439786
normal_reference,2,,,-1.2418667918433202,-15.084851966507264
normal_reference,3,,,-0.9208229763683788,-11.18515961382443
normal_reference,4,,,-0.6744897501960817,-8.192970535537144
normal_reference,5,,,-0.463707751457179,-5.632619240966076
normal_reference,6,,,-0.2718800053992609,-3.302503667090965
normal_reference,7,,,-0.08964235107576254,-1.08887813474778
normal_reference,8,,,0.08964235107576254,1.0888781347477574
normal_reference,9,,,0.27188000539926077,3.3025036670909413
normal_reference,10,,,0.4637077514571792,5.632619240966054
normal_reference,11,,,0.6744897501960817,8.192970535537123
normal_reference,12,,,0.9208229763683788,11.185159613824409
normal_reference,13,,,1.2418667918433206,15.084851966507248
normal_reference,14,,,1.8027430907391908,21.897769419439772
quantile_band_lower,1,,,-1.8027430907391904,-32.58032861266408
quantile_band_upper,1,,,-1.8027430907391904,-10.546230198726336
quantile_band_lower,2,,,-1.2418667918433202,-23.60321724738824
quantile_band_upper,2,,,-1.2418667918433202,-6.484224674290146
quantile_band_lower,3,,,-0.9208229763683788,-18.774039766163938
quantile_band_upper,3,,,-0.9208229763683788,-3.5390721402075456
quantile_band_lower,4,,,-0.6744897501960817,-15.290806030658286
quantile_band_upper,4,,,-0.6744897501960817,-1.0469756537033803
quantile_band_lower,5,,,-0.463707751457179,-12.448734348097796
quantile_band_upper,5,,,-0.463707751457179,1.2201266692622468
quantile_band_lower,6,,,-0.2718800053992609,-9.961950938565547
quantile_band_upper,6,,,-0.2718800053992609,3.3797326069655593
quantile_band_lower,7,,,-0.08964235107576254,-7.680885919540192
quantile_band_upper,7,,,-0.08964235107576254,5.510850119508332
quantile_band_lower,8,,,0.08964235107576254,-5.510850119508357
quantile_band_upper,8,,,0.08964235107576254,7.680885919540175
quantile_band_lower,9,,,0.27188000539926077,-3.3797326069655815
quantile_band_upper,9,,,0.27188000539926077,9.961950938565526
quantile_band_lower,10,,,0.4637077514571792,-1.2201266692622728
quantile_band_upper,10,,,0.4637077514571792,12.448734348097767
quantile_band_lower,11,,,0.6744897501960817,1.0469756537033508
quantile_band_upper,11,,,0.6744897501960817,15.290806030658265
quantile_band_lower,12,,,0.9208229763683788,3.53907214020752
quantile_band_upper,12,,,0.9208229763683788,18.774039766163916
quantile_band_lower,13,,,1.2418667918433206,6.484224674290125
quantile_band_upper,13,,,1.2418667918433206,23.60321724738822
quantile_band_lower,14,,,1.8027430907391908,10.54623019872631
quantile_band_upper,14,,,1.8027430907391908,32.580328612664054
