series,sorted_index,sorted_actual,sorted_predicted,smoothed_actual,smoothed_predicted,between_curves_lo,between_curves_hi
sorted_curves,0.0,27.0,27.267292237987213,21.85594405594408,27.431787052598434,21.85594405594408,27.431787052598434
sorted_curves,1.0,37.0,47.429656657467355,43.02517482517486,50.193169542934626,43.02517482517486,50.193169542934626
sorted_curves,2.0,50.0,70.95241514686084,58.255944055944106,66.06065268378191,58.255944055944106,66.06065268378191
sorted_curves,3.0,77.0,77.33716387969622,68.59650349650356,76.24014012796815,68.59650349650356,76.24014012796815
sorted_curves,4.0,78.0,80.69755794960957,75.09510489510497,81.93753552832125,75.09510489510497,81.93753552832125
sorted_curves,5.0,79.0,81.03359735660091,78.80000000000021,84.35874253766926,78.80000000000021,84.35874253766926
sorted_curves,6.0,80.0,84.05795201952293,82.27552447552469,85.50237315353719,82.27552447552469,85.50237315353719
sorted_curves,7.0,82.0,84.39399142651426,84.05734265734289,85.28304673405567,84.05734265734289,85.28304673405567
sorted_curves,8.0,82.8,86.07418846147094,84.63193473193495,86.05852228865106,84.63193473193495,86.05852228865106
sorted_curves,9.0,83.0,87.08230668244495,87.86899766899766,86.92877818880793,86.92877818880793,87.86899766899766
sorted_curves,10.0,95.0,87.75438549642762,91.0962703962704,87.52683433621556,87.52683433621556,91.0962703962704
sorted_curves,11.0,96.0,87.75438549642762,94.03216783216781,87.8522990765533,87.8522990765533,94.03216783216781
sorted_curves,12.0,96.1,87.75438549642762,96.39510489510486,87.90478075550062,87.90478075550062,96.39510489510486
sorted_curves,13.0,97.0,87.75438549642762,97.90349650349646,87.68388771873704,87.68388771873704,97.90349650349646
