series,sorted_index,sorted_actual,sorted_predicted,smoothed_actual,smoothed_predicted,between_curves_lo,between_curves_hi
sorted_curves,0.0,123.4,259.82938809249623,128.61748251748296,259.849848962755,128.61748251748296,259.849848962755
sorted_curves,1.0,187.8,259.82938809249623,191.93566433566465,259.78573823594417,191.93566433566465,259.78573823594417
sorted_curves,2.0,258.0,259.82938809249623,234.46806526806552,259.8009702171368,234.46806526806552,259.8009702171368
sorted_curves,3.0,260.0,259.82938809249623,260.1615384615387,259.89543123483145,259.89543123483145,260.1615384615387
sorted_curves,4.0,260.9,260.0244483889631,272.9629370629374,260.06900761752667,260.06900761752667,272.9629370629374
sorted_curves,5.0,269.0,260.31703883366345,276.81911421911497,260.32158569372166,260.32158569372166,276.81911421911497
sorted_curves,6.0,270.0,260.8046895748307,277.68601398601476,260.54665526656805,260.54665526656805,277.68601398601476
sorted_curves,7.0,277.0,260.90221972306415,277.2792540792548,260.482999225763,260.482999225763,277.2792540792548
sorted_curves,8.0,285.0,261.77999105716526,281.063403263404,260.8149200099608,260.8149200099608,281.063403263404
sorted_curves,9.0,286.0,261.8775212053987,285.5522144522146,261.5176372318474,261.5176372318474,285.5522144522146
sorted_curves,10.0,293.0,262.8528226877332,290.73682983683,263.17121656326,263.17121656326,290.73682983683
sorted_curves,11.0,296.0,264.7058955041688,296.93846153846164,266.1256525571244,266.1256525571244,296.93846153846164
sorted_curves,12.0,297.3,271.5330058805104,304.4783216783217,270.7309397663668,270.7309397663668,304.4783216783217
sorted_curves,13.0,318.1,277.3848147745175,313.6776223776223,277.33707274391367,277.33707274391367,313.6776223776223
