series,sorted_index,sorted_actual,sorted_predicted,smoothed_actual,smoothed_predicted,between_curves_lo,between_curves_hi
sorted_curves,0.0,27.0,19.141201741002966,21.85594405594408,23.67381306547442,21.85594405594408,23.67381306547442
sorted_curves,1.0,37.0,56.622990553056965,43.02517482517486,53.045892810858405,43.02517482517486,53.045892810858405
sorted_curves,2.0,50.0,79.50207559564117,58.255944055944106,72.06198298364612,58.255944055944106,72.06198298364612
sorted_curves,3.0,77.0,81.83774048584033,68.59650349650356,82.67761136690336,68.59650349650356,82.67761136690336
sorted_curves,4.0,78.0,82.097244974534,75.09510489510497,86.84830574369589,75.09510489510497,86.84830574369589
sorted_curves,5.0,79.0,82.097244974534,78.80000000000021,86.52959389708951,78.80000000000021,86.52959389708951
sorted_curves,6.0,80.0,82.097244974534,82.27552447552469,84.17697842003919,82.27552447552469,84.17697842003919
sorted_curves,7.0,82.0,82.097244974534,84.05734265734289,82.37852275450939,82.37852275450939,84.05734265734289
sorted_curves,8.0,82.8,82.21339074694552,84.63193473193495,82.25064818314151,82.25064818314151,84.63193473193495
sorted_curves,9.0,83.0,82.35324182000545,87.86899766899766,82.31238697402691,82.31238697402691,87.86899766899766
sorted_curves,10.0,95.0,82.40259780902873,91.0962703962704,82.3715869906016,82.3715869906016,91.0962703962704
sorted_curves,11.0,96.0,82.43388064527217,94.03216783216781,82.42795305681365,82.42795305681365,94.03216783216781
sorted_curves,12.0,96.1,82.4946800469523,96.39510489510486,82.48118999661136,82.48118999661136,96.39510489510486
sorted_curves,13.0,97.0,82.5092206581187,97.90349650349646,82.53100263394299,82.53100263394299,97.90349650349646
