series,rank,theoretical_quantile,ordered_residual,x,y
empirical_quantile,1,-1.8027430907391904,-40.58066909523931,,
empirical_quantile,2,-1.2418667918433202,-39.312399933416984,,
empirical_quantile,3,-0.9208229763683788,-35.57646879561576,,
empirical_quantile,4,-0.6744897501960817,-27.94053765781454,,
empirical_quantile,5,-0.463707751457179,-18.701013406233194,,
empirical_quantile,6,-0.2718800053992609,-5.272875681835636,,
empirical_quantile,7,-0.08964235107576254,-5.047773886655193,,
empirical_quantile,8,0.08964235107576254,-2.5810134062331933,,
empirical_quantile,9,0.27188000539926077,-0.43694454403441796,,
empirical_quantile,10,0.4637077514571792,4.5810210248661924,,
empirical_quantile,11,0.6744897501960817,7.691800366206561,,
empirical_quantile,12,0.9208229763683788,8.167812940152146,,
empirical_quantile,13,1.2418667918433206,11.598986593766806,,
empirical_quantile,14,1.8027430907391908,38.17898659376681,,
normal_reference,1,,,-1.8027430907391904,-47.26277639298354
normal_reference,2,,,-1.2418667918433202,-34.89676542247331
normal_reference,3,,,-0.9208229763683788,-27.818499943983827
normal_reference,4,,,-0.6744897501960817,-22.38742827409082
normal_reference,5,,,-0.463707751457179,-17.740178044543747
normal_reference,6,,,-0.2718800053992609,-13.510824768482305
normal_reference,7,,,-0.08964235107576254,-9.492910591968284
normal_reference,8,,,0.08964235107576254,-5.540102106363112
normal_reference,9,,,0.27188000539926077,-1.5221879298490943
normal_reference,10,,,0.4637077514571792,2.7071653462123555
normal_reference,11,,,0.6744897501960817,7.354415575759423
normal_reference,12,,,0.9208229763683788,12.78548724565243
normal_reference,13,,,1.2418667918433206,19.86375272414192
normal_reference,14,,,1.8027430907391908,32.229763694652156
quantile_band_lower,1,,,-1.8027430907391904,-66.6525084848755
quantile_band_upper,1,,,-1.8027430907391904,-26.658789994308183
quantile_band_lower,2,,,-1.2418667918433202,-50.3583058333066
quantile_band_upper,2,,,-1.2418667918433202,-19.285912629438602
quantile_band_lower,3,,,-0.9208229763683788,-41.59294765541526
quantile_band_upper,3,,,-0.9208229763683788,-13.940216193528455
quantile_band_lower,4,,,-0.6744897501960817,-35.27058915280729
quantile_band_upper,4,,,-0.6744897501960817,-9.4168541089907
quantile_band_lower,5,,,-0.463707751457179,-30.11199302298162
quantile_band_upper,5,,,-0.463707751457179,-5.301875116401424
quantile_band_lower,6,,,-0.2718800053992609,-25.59827461438384
quantile_band_upper,6,,,-0.2718800053992609,-1.3820109903326276
quantile_band_lower,7,,,-0.08964235107576254,-21.457952168883917
quantile_band_upper,7,,,-0.08964235107576254,2.4861442781870187
quantile_band_lower,8,,,0.08964235107576254,-17.51915697651842
quantile_band_upper,8,,,0.08964235107576254,6.424939470552531
quantile_band_lower,9,,,0.27188000539926077,-13.651001707998768
quantile_band_upper,9,,,0.27188000539926077,10.565261916052442
quantile_band_lower,10,,,0.4637077514571792,-9.731137581929978
quantile_band_upper,10,,,0.4637077514571792,15.07898032465021
quantile_band_lower,11,,,0.6744897501960817,-5.616158589340708
quantile_band_upper,11,,,0.6744897501960817,20.237576454475896
quantile_band_lower,12,,,0.9208229763683788,-1.0927965048029469
quantile_band_upper,12,,,0.9208229763683788,26.559934957083865
quantile_band_lower,13,,,1.2418667918433206,4.252899931107211
quantile_band_upper,13,,,1.2418667918433206,35.32529313497521
quantile_band_lower,14,,,1.8027430907391908,11.625777295976775
quantile_band_upper,14,,,1.8027430907391908,51.61949578654409
