series,sorted_index,sorted_actual,sorted_predicted,smoothed_actual,smoothed_predicted,between_curves_lo,between_curves_hi
sorted_curves,0.0,7.6,7.8771403601408885,7.160559440559443,7.936469581287153,7.160559440559443,7.936469581287153
sorted_curves,1.0,8.2,15.149207752065093,7.570349650349641,16.14593866732186,7.570349650349641,16.14593866732186
sorted_curves,2.0,9.7,23.633286375976663,10.32955710955709,21.868948347127944,10.32955710955709,21.868948347127944
sorted_curves,3.0,10.9,25.936107716752662,14.778974358974331,25.540438315727442,14.778974358974331,25.540438315727442
sorted_curves,4.0,23.0,27.148118948740027,20.25939393939391,27.59534826814239,20.25939393939391,27.59534826814239
sorted_curves,5.0,25.82,27.269320071938765,26.11160839160846,28.46861789939487,26.11160839160846,28.46861789939487
sorted_curves,6.0,35.0,28.360130180727396,28.87762237762245,28.88109724641155,28.87762237762245,28.88109724641155
sorted_curves,7.0,36.5,28.481331303926133,29.01282051282059,28.80199161821657,28.80199161821657,29.01282051282059
sorted_curves,8.0,37.2,29.087336919919817,33.26573426573435,29.08168651790597,29.08168651790597,33.26573426573435
sorted_curves,9.0,37.5,29.450940289516026,37.98974358974381,29.395566349779557,29.395566349779557,37.98974358974381
sorted_curves,10.0,40.0,29.6933425359135,49.652540792541046,29.611270446661226,29.611270446661226,49.652540792541046
sorted_curves,11.0,66.58,29.6933425359135,71.23696969696998,29.728657548500564,29.728657548500564,71.23696969696998
sorted_curves,12.0,121.0,29.6933425359135,105.72587412587447,29.74758639524722,29.74758639524722,105.72587412587447
sorted_curves,13.0,150.0,29.6933425359135,156.10209790209828,29.66791572685085,29.66791572685085,156.10209790209828
