model,best_cv_r2_primary,model__alpha,model__l1_ratio,ridge__alpha,estimator__sgd__epsilon,estimator__sgd__alpha,min_samples_split,min_samples_leaf,max_depth,n_estimators,max_features,estimator__subsample,estimator__n_estimators,estimator__max_depth,estimator__learning_rate,estimator__max_leaf_nodes,estimator__max_samples,model__n_neighbors,estimator__svr__gamma,estimator__svr__epsilon,estimator__svr__C,estimator__alpha
Linear Regression,-149.27923669918525,,,,,,,,,,,,,,,,,,,,,
Ridge Regression,-149.27960176775667,0.0001,,,,,,,,,,,,,,,,,,,,
Lasso Regression,-149.27924021485984,1e-05,,,,,,,,,,,,,,,,,,,,
Elastic Net Regression,-149.2795020178919,1.191103133283008e-05,0.5236842105263158,,,,,,,,,,,,,,,,,,,
Huber Regression,-161.85007413479747,,,,,,,,,,,,,,,,,,,,,
Theil Sen Regression,-95.84007856229599,,,,,,,,,,,,,,,,,,,,,
RANSAC Regression,-207.85631888006932,,,,,,,,,,,,,,,,,,,,,
Bayesian Ridge Regression,-145.8349958790385,,,,,,,,,,,,,,,,,,,,,
ARD Regression,-145.8349958790385,,,,,,,,,,,,,,,,,,,,,
Polynomial Regression Degree 2,-158.58723706228363,,,,,,,,,,,,,,,,,,,,,
Polynomial Ridge Degree 2,-158.58826456365264,,,0.0001,,,,,,,,,,,,,,,,,,
Polynomial Regression Degree 3,-1080302.953353379,,,,,,,,,,,,,,,,,,,,,
Polynomial Ridge Degree 3,-247.5758798315886,,,5355.666917706896,,,,,,,,,,,,,,,,,,
Stochastic Gradient Regression,-434.2303893532224,,,,0.25,6.020894493336126e-05,,,,,,,,,,,,,,,,
Kernel Ridge Regression,-141.89175598304323,,,,,,,,,,,,,,,,,,,,,
Decision Tree,-129.3454000252573,,,,,,2.0,2.0,,,,,,,,,,,,,,
Random Forest,-128.32427560940448,,,,,,4.0,1.0,5.0,450.0,sqrt,,,,,,,,,,,
Extra Trees,-140.9531337815615,,,,,,3.0,1.0,8.0,450.0,sqrt,,,,,,,,,,,
Gradient Boosting,-141.9177713840865,,,,,,,,,,,0.7,200.0,4.0,0.6309573444801932,,,,,,,
Adaptive Boosting,-132.0852390658834,,,,,,,,,,,,250.0,,0.009459366861066257,,,,,,,
Histogram Gradient Boosting,-252.87719027504144,,,,,,,,,,,,,2.0,0.4379044014143724,63.0,,,,,,
Bagging Regressor,-122.77268778175512,,,,,,,,,,,,40.0,,,,0.8,,,,,
K Nearest Neighbors Five,-98.64072307105775,,,,,,,,,,,,,,,,,9.0,,,,
K Nearest Neighbors Three,-98.64072307105775,,,,,,,,,,,,,,,,,9.0,,,,
Support Vector Regression,-99.06866967847138,,,,,,,,,,,,,,,,,,auto,0.09999999999999999,82.27241341700466,
Gaussian Process Regression,-141.5786214304178,,,,,,,,,,,,,,,,,,,,,0.005355666917706897
